,Nup,Ndn
143,0.9493996968863033,0.8882953825072782
144,0.9404268071852224,0.8912532609019176
145,0.931348735303873,0.8951071679966177
146,0.9223591870226064,0.8997732245119207
147,0.913636332778077,0.9051441249614498
148,0.9053422391151922,0.9110976842532129
149,0.8976220706933532,0.9175043593277011
150,0.8906020542574766,0.9242289807678525
151,0.8843865709980858,0.931126149839335
152,0.8790557028649469,0.9380335667307595
153,0.8746644788068483,0.9447694165503381
154,0.8712442095960908,0.9511383916512515
155,0.868805088079815,0.9569460881287963
156,0.8673387107758156,0.9620173558619154
157,0.8668194288510173,0.9662122362508044
158,0.8672043799042198,0.9694348718584129
159,0.8684328891953678,0.971634393184211
160,0.8704262258075748,0.9728003234443537
161,0.8730882888445904,0.9729561876374981
162,0.8763072242205359,0.9721538027891451
